N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
742,1.25564143258079128053611611941095154799329087161873524438952810821246448824348639417877493416415307798904603642993564863,2.073949e-04,3.614244e-04,50,642,100,0
744,1.25509148118817315652114934791128218871650203156878839899385295245177756989100689652174875351525777515120411986746344579,3.425565e-04,5.499514e-04,49,646,96,2
746,1.25558198778622349010120176242236647253997245575571606327538059256895273246135185045299499493870420330718608613856982773,1.479501e-04,4.905066e-04,50,646,100,0
748,1.25538911931540962563129296517981351972705683396445684168708035906349051477599122273906575586214173157360996700091705854,4.491841e-05,1.928685e-04,51,646,100,2
750,1.25547383215627866918558807270638609769544272204457003861030285354100166474200818321042172925784638394520222738432783514,3.979443e-05,8.471284e-05,50,650,100,0
752,1.25560361206205138318667907008596055164979000866678338138319415884525837814108501856713447348999609250844441969333729160,1.695743e-04,1.297799e-04,51,650,100,2
754,1.25532838125326235205125862764852768860834269802579631490621768177726308787947313650312756605167938759011982458067062462,1.056565e-04,2.752308e-04,50,654,100,0
756,1.25564032036968033279873734886103134101556610898598657635510220957757353165766744039960375980954540967032794656819096605,2.062826e-04,3.119391e-04,51,654,100,2
758,1.25515260103171945212120937869053660028503677102323192347306719207140404473891274875760652910190831397528779180115958016,2.814367e-04,4.877193e-04,50,658,100,0
760,1.25559807909329477068676752388644517205258016420330955619822349607001773090474044132110340859853872336282850509328906284,1.640414e-04,4.454781e-04,51,658,100,2
762,1.25523110826881410482028676312569809440723996513366413471963945608073872686429603818043075232162693552424190969002732474,2.029295e-04,3.669708e-04,52,658,104,0
764,1.25550429998711825379033314587764996062544396607720453061698420308174260045618218438749955004630542925842230159133673566,7.026226e-05,2.731917e-04,51,662,100,2
766,1.25556880015146808867844394061501783028064677756204304630384178798851915507607793775147999542224535946218739354841918508,1.347624e-04,6.450016e-05,52,662,104,0
768,1.25537192373172985927043660372174208433919242455775796106765872645185465580818364003826661109238643136950639058868778648,6.211400e-05,1.968764e-04,51,666,100,2
770,1.25563405076080428280524064664907706364645727786578439329361484063354164679583878583139437188058054881928839199571665421,2.000130e-04,2.621270e-04,52,666,104,0
772,1.25520854402800072538239425882421000319218944335192033295608441571807941033895905156869962450382206581583834990305119381,2.254937e-04,4.255067e-04,51,670,100,2
774,1.25560974106780719870143619971029918991682284686625050975717330035358900431080534471044593372084492738683056073802138708,1.757033e-04,4.011970e-04,52,670,104,0
776,1.25501920352889907088795799406300481818971865282545904076118760723134740331776784797331931063026677835668371087065070160,4.148342e-04,5.905375e-04,51,674,100,2
778,1.25553039238018807731611469395746963175491330792514359363919298190071884197244451134200600507847376818568346466661581758,9.635465e-05,5.111889e-04,52,674,104,0
780,1.25552274626325896299267205265488007493808081641338504030393964520588777665051767436329705700705306924077414260875474226,8.870854e-05,7.646117e-06,53,674,104,2
782,1.25541090029062434594684670753151162240733713045755651769848185295416682646050646946718440864770362677925030027666129193,2.313744e-05,1.118460e-04,52,678,104,0
784,1.25562230675780501077028738347143888257544010171200616709711422186214874576031219219645149499910013448037184209251921158,1.882690e-04,2.114065e-04,53,678,104,2
786,1.25525961949555496244018401238117516821989069062364736305341843391877382419292610647026451491352247394331011118320590353,1.744182e-04,3.626873e-04,52,682,104,0
788,1.25561701759645268600176162185425901241959260471024015427752564858362869342327271031537591272311232303197377677876807836,1.829799e-04,3.573981e-04,53,682,104,2
